text,sentiment
 check out my twitpic telling people to buy your album!  http://www.twitpic.com/4jhn7,neutral
"playing with Zeke, he`s leaving today",neutral
"srsly, BGT, joke maaan. how lame. ughhhh work tomorah have to get up early",negative
"Changing to work,.",neutral
 I will - but you will never know it`s me,neutral
 thanks  have fun at work lol ****,positive
Happy Mother`s day to all the mom`s out there in twitter-land!,positive
"I know it wasn`t going to be there, but I check EZTV for The Office torrent...",neutral
  are you having a bad day?,neutral
" well, someone told me it`s only there for two weeks  i`m going again next week with a friend IN SCHOOL TIME :p ...",neutral
"even though it`s only 7am on Saturday morning, it feels like the weekend is already over. btw I`m awake because I had a bad dream..",negative
" Don`t worry, you spelt `NO` correctly! It just looks wrong",neutral
" wow,that must be sooo cool",positive
 it was amazing,positive
Just learned aobut #starwarsday. Thus: 'There are only 3 movies and Han Solo shot first'. Deal with it,neutral
 if only that was really my job title,neutral
left my phone at home and wont get it back till 4am. dont call me!!,negative
 have a lovely weekend,positive
I`m terrified about the surgery next week,negative
 What are you doing up so early?,neutral
 i dont think you can vote anymore! i tried,negative
"_caine I saw it, it made me sad",negative
 i really wish i could.,positive
_marie1 hey beautiful whats up?,positive
the sing store won`t work.,neutral
 can i have itL,neutral
 Welcome to Twitter  I hoped it wouldn`t be long before you saw the light and joined us!,positive
Happy Star Wars Day everyone! May the 4th be with you all  ****,positive
"Holy cow! Archie Andrews finally marries Veronica Lodge.This is not what I thought will eventually happen in my 6th grade  Awww...bad, bad",negative
i love love love silverstein.  work tomorrow. boo!,positive
" http://twitpic.com/4vuuy - thats the most colorful thing ive seen all day,wow.",positive
is cute,positive
"iPhone today! I want to see The Morning Of in Virginia Beach, but I don`t think I can get there",negative
sunburnt again,negative
"I feel funny. Hmmp, better be an amazing **** day. why not?  I LOVE HOW I KNOW SAMMY ROVIN GOT A TEXT ABOUT THIS TWEET <3333",positive
": G`night twitterverse, much twitter luv to you all  ? http://blip.fm/~5yvnd",positive
 Looking forward to your gig in Ireland!!!  See ya there!,neutral
"My goodness! Another hit, another run!!!",positive
http://twitpic.com/67ykl - The stolen purse -- when it was new from the store...see tags still on it,negative
 MICHELLEEEEEEEEEEEEMYBELLEEEEEEEEEEEEEEEEEE *snif snif*,neutral
Duncan finally got his orders... leaves for Iraq in September. Open invite to stay with me anytime during the year he`ll be gone,neutral
"finally, holiday.",positive
17 Again was actually quite good considering...off to bed now. Long day tomorrow. June 12th...please come soon (but not too soon),positive
"The internet is just being a big fail for me today-- not only is Twitter its usual semi-flaky self, but Facebook and VRBO.com, too  Boo!",negative
"_L_S How was the game? Unfortunately, teh Cavs lost  I`m sure you had fun though",neutral
_ray Bright Eyes=Contentment,positive
good weekend,positive
Having first beer in over 8 days what has happened to me and Im only having it cause Miss 8 wanted to get me one for mothers day.,negative
Made it home..Night my twitties,neutral
UUUUUGH!!! I HATE I MISSED  INTERVIEW!!! I WASNT AT HOME!!! DARN!!!,negative
**** back home in tallcree (rez)  now i cant see my boyfriend,negative
Comment my new myspace pictures plz?,neutral
"http://twitter.com/cruisemaniac/statuses/1752876129 ' requires python...  but yeah, as i tweeted yesterday, dont install 1.9.4. ...",neutral
in the mood to listen to some Reg stuff  (Sir told me: U used to be a huge fan of mine but now it seems you`ve forgotten my songs!!!) ),neutral
"srsly, nobody evr reply`s 2 me.",negative
What Darren on Linkedin? YES!   Just say your a twitter friend I NEVER IDK people! http://www.linkedin.com/in/darrenmonroe,neutral
Manchester was wayyyyy to busy!  so warm today also! :`(,negative
" 'there are people and then there are pencils' some are sharp, some are not and some can be sharpened  my pencil philosophy.....",neutral
_wx it looks like it did in Ohio after a tornado hit.,neutral
is  wishing work was done soon  <3,positive
 wish you were on your way to Tampa! FL girls are missing ya!,neutral
Molly keeps punching me cuz she sees yellow cars. I`m gonna be covered in bruises. I don`t like this game,negative
Woo hoo! My happiness score is 612. Apparently I am over-the-top happy. Considering the week I`ve had....,positive
Checked the bank acct this mornin..got a lil sad..then decided I would imagine a 0 on the end just to make me smile.  #whateverworks,neutral
Actually I`m really missing Fabian  Which is pretty sad since i talked to him like... 2 hours ago! Gosh time flies when you miss someone.,negative
 lucky! I still want those blue ones,positive
 u callin me grimmy,negative
nice weather..looks like its going to rain here in # Delhi.,positive
i`m celebrating my mother!!  and also celebrating my legacy as a woman of God.,positive
been in bed for two days with migraines,negative
trying to understand why WHY i joined twitter.....everyone else was doing it i felt left out,negative
What I`m gonna do  life is not good:`( no more Exit in this hallway I`m stuck in my world...,negative
Today is my last official day of Uni! No more balancing uni work with music!!!! Til october atleast,neutral
  Those dog pic had me  ROLF!  The one  with the snow stuck too it  has that 'if looks could kill look' way funny,positive
http://twitpic.com/67di2 - This is what I meant when I said my skin is terrible. Plus sunburnt chest.,negative
Stupid MSN It wont let me onnnn,negative
Liam peed in the potty!!,negative
Hahahahaha i rember when i riped that william picture out of one of claires mags. I beated zoe to it,neutral
"Woke up really late today. Just had breakfast. Planning to stay home, watch TV shows and do nothing. Eat too.",neutral
"  and Em, my baby, starts kindergarten.  What a crazy summer it`s going to be.",positive
 my plans might have just gone out the window too  bit gutted.,negative
 hey Padster...it`s a dirt track.  thx for the info! I got 3 miles in,positive
"Roast was yummy, I think mum was impressed!!!",positive
 Or nudge the partner! Good birthday/ christmas/ I just want to buy you something gift!,positive
Trying to recover photos after a problem between Windows and my XD card. Result: shots are all half visible  **** Microsoft...,negative
 Don`t tease me! I`m in desperate need of an adjustment.,negative
 say a hi to me tom  please please,neutral
Getting ready to to to school,neutral
"Back from cycling 20 miles on virtually traffic free roads,the sun almost shining,new PB great start to the day",positive
Toris was SO fun! JB MOVIE WAS ABSOLUTELY AMAZING! and i had a good day at work!  YAY i loved the movie! :0,positive
_trip I bet he didn`t fall asleep till like this morning  sorries.,negative
Yorks V Lancs on the telly. Not going too well for Yorkshire.,negative
all my files got deleted,negative
 Were you going to come? The venue said that they couldn`t afford to open so cancelled it. I wish we were there now!,negative
waaa the octo drive and i can`t go for it,negative
 oo never played it  thats so good that u like 2 play games most females dont like too,positive
 what`s the matter chickadee?,neutral
 ima goodgirl I`m not down with takin advantage,positive
YAY! My temperature went down!  I can have dinner with the family tonight.,neutral
I have to work tonight  But I get my paycheck!,neutral
"Playing at THE HAVEN tonight with Cassandra Wilcox, Patrick Bell, Ben Bloss, & Bucket of Nails! Doors are at 8pm. 21+: $6, Under 21: $8!",neutral
had a **** contact with both parents >.>  grrr,negative
 same with drunk guests.. Our jobs are pretty similar sometimes,neutral
So nice to go into the bathroom and not hear the sound of gently running water,positive
" aww homesick  i feel you! im homesick for my 2nd home, campp",negative
I had a great date last night...tried to find the CDCaves with Daniel  it was HILARIOUSLY FUN!!!,positive
thanx ,positive
"ashley tisdale , i mean . cuz shes in berlin on 6th june and i`m not gonna be there . i wanna start cryin right now :/ ashley pick me up",negative
Ugggh. Its so nice out! I don`t want to be working with back-up dancers.,neutral
The time Is 3.50am and if finished my essay  I can have Sunday off  woop,positive
  hiya!  did you get a picture of your converse?? GET YOUR CONVERSE OUT!,neutral
looking for my self... be right back.,neutral
" You should hate your gender less. Not all men are bad. In fact, I quite like mens.",neutral
mom just woke me u[p and i am so mad i was dreaming about  shoes  she whants me to go to the river it is so stupid,negative
" - Aw, well I`m glad to hear you`re okay. Try a hot bath or a cup of tea maybe to calm you down. I worry about you!",neutral
I`m a new french girl in Twitter! And I speak English very bad,negative
"fuckkk i need sleepppppppp lol, happy mothers day mummy",neutral
" yeah. No vomiting tonight, bit sniffly but ok.  bens trying to get him to sleep right now.",neutral
 you can still stay if you want to!,neutral
 everyone loves u sarah not just the tweeters! the today show couldnt stop raving about your beautifulness...,positive
"Photo: Got my prints a few days ago, ready for the NorskArt exhibition  http://tumblr.com/xht1phgl3",neutral
_Kel_17 ehh carnt stand hot weather,negative
_654  it`s this damp weather...,negative
 My iPod headphones have gone kaput.  Wanted to buy new ones. Should I buy some Bose instead then? Do they work with Apple?,negative
 I couldnt come to see you in Southend on the 2nd as I couldnt get the tickets :[ Ill have to come see you when you solo tour,neutral
Really!,neutral
"Out if class!! Yow party + four hour lecture don`t mix attal!! I had to drink 3 red bulls & I`m still sleepy .,,,,smh! Alrite bedtime",neutral
the dates of the hockey games were confused they`re next week,negative
"Up, I slept in till 11.02 !!! Shooting a new vid today",neutral
is closing at 10 instead of 12 yay!!  just 15 min till i can go home and talk to my lovebug!!,neutral
Getting my self a nice cup of tea and turn on some music,positive
Nnnnoooooo!!!! Just learned we`ve got a frost warning for tonight!,negative
 I am so sorry I missed your tweet  I was on a nice long chat across the border with pastel. Did you want the recipe? email?,negative
last day off... back to work tomorrow,neutral
"Hey my twitter friends, tho very few!!!!",neutral
"Was late today, due to construction!!!      tGif...",neutral
 I want some ice cream,neutral
" bugger, that would have been nice but typically, we`re heading to Bristol",neutral
from last Montday`s award ceremony  http://twitpic.com/4jkvl,neutral
 sometimes ... you just have to write it off ... and start from the top of your tweet stream.  The past has happened,neutral
 Yes I think it`s safe to say she is at the same popularity level today as always.,positive
" yes, yes .... nap or read gossipy mag if you have one handy",neutral
Chili night in Minneapolis.  I refuse to turn the heat on in May!,neutral
  lol.. zzzzy in office and I`m alone in my bay again.,negative
 lame,negative
 Haha of course! That`s my favorite album of all time,positive
 buy me a taco! haha. i don`t want to stand in line,neutral
 ha... I thought you would enjoy the Family Guy reference... and I`m more bored than you,negative
just got my BMTH concert tickets  ? youknowimsofreshtilldeath?,neutral
"So now, I have conjunctivitis in my left eye. Is this a sign of something? What did I do wrong to deserve this?LOL I`m dying people!",negative
"_bbA Ooh, nice  Well I guess not nice at the moment, being windy and rainy. But I like rain",positive
 LOL and that`s why I use my iPod touch,neutral
*yaaaawwwwnnnn* thx to bank holiday... let`s see what today has prepared for us...,positive
 and it never arrived. have to wait until Monday now,negative
_dk No problem,positive
 LOL. About to leave.,neutral
"Am in the place called 0UT OF NOW WHERE!! Take me out from here, somebody  http://myloc.me/1XRI",negative
I drive >90mph on a daily basis. u cld film Fast & Furious off of me. But anything  <1 mph is not my forte`. I bump Anything!.,neutral
Why do I always have a headache?,negative
 I`ll check it out!  Thanks  and good luck with your book!    Bella,positive
heading to work,neutral
 me too except move that 7am to 9am,neutral
actually loves nesquik cereal,positive
 britta says she wants to have lunch with you too,neutral
"I also want it to be the 6th, i miss my girlies so much   WE GET TO BE ROOMIES AGAIN!",negative
"aidan, please",neutral
listening to the falling rain...lalala,neutral
  tis a sad day,negative
 You realllllllllly just said that didn`t you?,neutral
can`t stop smiling  i`m in the best mood right now!!!!!,positive
wished I watched jon & kate plus 8 on monday,neutral
Watching boxing and waiting to go out to Hollywood tonight,neutral
 Good BUT it`s supposed to storm later,neutral
Suffering from  Hemorrhoids.,negative
My phone is so stubborn!! You`d think it had my genes or something!!,neutral
I just had to look up endometriosis. Oy!,negative
about to drink a hot chocolate  yummy.,positive
" I don`t know enough about #Sotomayor, but she made a big boo-boo talking about making law.  Doesn`t know what 3 branches do?",neutral
"dear  a)stop snoring and b) move from the middle of the bed, please.",neutral
is actual gonna need a new job and not just want,neutral
Happy Mothers Day Mum,positive
"Yeah, I think we`ve earned it!",neutral
Tonight @ 10 on The Northland`s NewsCenter we kick off a week long look at Great Summer Getaways in the Northland! Don`t miss it!,positive
"Back then I didn`t know why you were misunderstood. So now I see thru ur eyes, all that u did was love. Mama, I love you",neutral
Week-end is over and now it`s time to get back to work,neutral
I love cute texy messages. Especially when he calls me mandy,positive
What a gorgeous day!! And I`m going to be stuck in a lab for the next 9 hours or so,positive
woo exams nxt wk,neutral
Finally a Black Disney princess.,positive
 You`re the one getting married on me,neutral
 I`m sure some1 will **** out and play. I`m workin through til midnight.,neutral
 I am sorry.,negative
 I was born there,neutral
"in case you missed it on my fb status: looking for maui hotel recommendations. yes, maui!",negative
 Hah!  Sparkly ones at that.,neutral
_pollard Never. I`m banned by Court Order,negative
Can you get me a sub from subway when ur on your way home?,neutral
 agree completely. it`s all about attitude & chutzpah,positive
"http://bit.ly/5e7dr  this is cool, van helden.",positive
_skies miss you too :`( it is!i never want to come home.....seriously,negative
 aaa new follower! hiii,neutral
i want a dog...,neutral
out for supper tonight with kurumi in 10 minutes,neutral
" i`m not sure what stracchino is, but it sounds good.",positive
 sorry  you wouldn`t believe how much feedback we got on that menu bar icon.  the next version will be a lot more subtle,neutral
"Back from hospital, now at work... later studio time",neutral
" Shoot, Rob I missed it. Just got home.",negative
Facebook Group: World Leaders  http://www.theatlantic.com/a/facebookhumor.mhtml,neutral
 i`ll miss y`all back... give  my regards...,negative
Won a gps at post prom,positive
 nah i followed them first then they followed me. i think 12-306 overnight is pretty good,positive
Can`t believe those idiots buzzed out the juggler.,negative
"Time to watch OP, then some Dead Like Me, then sleep.",neutral
On my deck... Perfect weather today! Not feeling good tho...,neutral
"_joyner And he can`t even tell me.  Me and him are **** done, professionally. ****` ****.",negative
last night in newport,neutral
Happy its the weekend...LOVE has knocked me down ya`ll!!!,neutral
 'stunningly beautiful' and 'new piece' don`t usually go together. Wish I could go,neutral
"Heading to the hospital to sort out my back, not looking forward to this",neutral
 HIII!!!!  i`ve missed you  just bored....what about u?,negative
I am parked in FS yet no ticket.,neutral
in rye..happy mothers day mums  ily mummy  lol,positive
"Glorious day in Glasgow for a change, and I`m working  Too much to do to even contemplate knocking off early...",neutral
_shiny Thanks for the heads-up. You`re an hour ahead of me here.,positive
Twitter has been foking up for me today arg!  1 and 1/2 hours of work till the weekend! Woooooo,negative
"Tired, tired, tired.. Didn`t sleep well last night..   Thought too much.. Slept not much.. Glad that it`s almost weekend!",neutral
 I cant stand summer fever (for me) and when the weather gets really humid  lol,negative
" I love old school horror movies more, I got Elvira tattooed on my back",positive
Why did I agree to work on this gorgeous day?,neutral
 I miss you too,negative
Doctors appt,neutral
sleep....good night tweeties!!! down to OC tomorrow. I hope and pray that Rachyl gets better SOON!!!,positive
scratchy scratchy throat. warm fluids needed,negative
 switch to something else then,neutral
"alphonso milkshake in the morning, lassi in the afternoon and fresh nimbupaani in the evening....summers can be fun",positive
is MySpace mobile free? or do u have 2 have credit... cause they are liers,negative
"Wow, mosquitoes in the backyard suck.  So does coughing myself half to death in the middle of the night and keeping Cassidy awake too.",negative
Everyone we have another hater  ,negative
shopping! Migawd. i don`t want to surf the net anymore.,neutral
Riley had an alphabet fashion show today and I forgot my camera.  It was so cute!,positive
 im good! im on my laptop using and external internet plug. i need to send it away to be fixed,positive
" thanks for adding me, glad to have you",positive
 awwwwwwwwww  thats jus...awwwww.did she get to start again like?,neutral
good morning  tis a rainy Monday morning...blahhh!,positive
"Grew fat today  GSS was so hxc I saw a full house Chanel, JC, Pedder Red and Ferragamo! How great is the economic downturn.",positive
"i love pink, and i don`t care. today i shall not tweet as i have to hardcore work with jamie! have a nice day everyoneeeee  xxxxxxloser",positive
I want him to call,neutral
  buy yay for your shoot...hope it goes well!  What is it for?,positive
 I`ve read about those. They`re cool. You should definitely get one,positive
" nope difference of 5 OMR for C class, anyone notice the flight number for WY`s flight for LHR? WY-911",neutral
 paramore makes me want to punch babies  lol,neutral
 i like it and all butttt your not going to have it at the august 7th concert which hurts my feelers,neutral
 yeah! but too late  lol,negative
feels at home to be back at church,positive
time to mow the lawn.,neutral
"Fell down the stairs at dancing, sword fell on me and now my bum hurts",negative
"_RICHARDS A man loves his sweetheart the most, his wife the best, but his mother the longest. Happy Mother`s Day",positive
off work yesss ! super hungry,negative
 yes........there are many cool things americans cannot watch,positive
" I wish I was there.I`ve just moved from San Diego to WA and I`m very depressed, I miss sunny San Diegoooooooo!!",negative
"For some dumb reason my dresser is sticky on top. And for another reason, a family history book got attached to it  Now the back is jacked",negative
I feel I owe it to  to listen to her new albums (everything released after `Chains`) since she was nice to me on Twitter!!,positive
 What happened to Dave?,neutral
I wanna go to DBSK oppa`s Mirotic Concert in Thailand!!! I REALLY WANNA GO SO MUCHHHHH...    *burst into tears*,neutral
_d ...I`m so happy for you guys! COngratulations!,positive
Hmmm thinking about taking back that I feel better this morning - I think I spoke to early,positive
 Till then ..Ice Cream!,neutral
 Haha I like that. You`re actually saying thanks to the bots! Never looked at it like that.,positive
 wasnt it sad?  was the 3d good?,negative
" Tom! Do a tour in the Philippines, please?  That would be so awesome!",positive
 tolddd you there was thunder! ew now it`s all rainy D: i`m scared!,negative
up and reading the (maltese) sunday newspaper over coffee... Aaaah.. Glorious Sundays,positive
Chilling feeling really nice..,positive
#Volvicchallenge Tesco dropped off my 14 bottles today  Props for doing so on a Bank Holiday,neutral
 it`s just one day... do a week of 60hrs to compensate,neutral
Sugar Free Should Have Gone Through In stead On 2 Grand  They Were So Good and 2 Grand Is A Bit Too Cheesy,neutral
Got a right bad headache,negative
im hungry.due to last night`s dinner..or lack there of.. someone take care of me,neutral
 Well thank you.,positive
Nice and clean now,positive
Watch Jay Leno tonite!!!  It`s his last day as the Tonight Show Host,neutral
Ok hubby really isnt going to be logging off anytime soon  what to do what to do?,neutral
the start of my day was finding a lump on my body... went to the hospital... apparently its nothing! fewfffff! bloodtests suck...  haha,neutral
I`m calling your room-mate!!!,neutral
 i`m watchign the garden from the window...far too hot for me,negative
 I would have to agree on the Bacon Cupcake... Would rather drive 2 the shop instead of 2 the office,neutral
is busy creating a new logo for my  site,neutral
i found a ride...YES!!! liquor here i come,positive
 Alright...you missed one crazy party last night,negative
" Fab, eh?  Feel free to come along for some pre-ep 4 chat and drinks over at Luigi`s - http://www.luigis.org.uk tomorrow!",positive
 oh that`s cool   Thanks!!,positive
 hey dave im just up in the UK and first thing i done was put RR on  could u play ill be there new kids on the block thanks,neutral
" Alright, sorry. But I think you should go anyways",negative
The ship has landed.,neutral
Pretty  is it long or short? Sparkly or shiny? Lol,neutral
Have a HUGE headache... don`t have asprin here at work.,negative
kinda has a headache...,negative
awake sadly        seeing Leon today !,negative
 Dave thanks for playing Happy Birthday from NKOTB. Today is my bday! It is a lonely bday today.,neutral
 no one ever gave me the info I`m sad,negative
nomatter how much i sleep am still tired  either going to sleep early or late....,negative
 Hmm Ok next time i see you il just get you to explain to me the whole process  haha,neutral
ive spent a lazy day today finding some interesting people to follow  its reinforced the saying... it takes all sorts of people ...,neutral
pmg im very upset no just relasie hugh laurie isnt on  **** ohh,negative
 i would but i have nowhere to go and no one to go with,negative
 havin fun? x btw isnt it bowling? ****,positive
"needs to stop taking photos with other people`s cameras!  luckily, photos have been delivered",positive
"Next thing to do tomorrow morning: Temperature Check! It`s gonna be a routine till Swine Flu dies. Good Night, everyone!",positive
one hour till I go home and commence pouting because no Bahama trip for me,neutral
my 6th wedding anniversary today... so lucky to have such a gorgeous wife,positive
Rest in peace marshall,negative
shiiiiiiiiiiiiiiiiiiiiiiiiiiiiiit advanced databases in 8 hours and 13 minutes  fail,negative
going to bed its late and I have headache,negative
Pretty happy with how things have changed over the past 2 months...definitely for the best,neutral
" yes, at an upgraded consumption rate, too",neutral
 boffert,neutral
For _inLaPush because she misses Quil so...  Far Away ~Nickleback ? http://blip.fm/~5z639,negative
 thank you for the re-tweet,positive
" well sadly I live in the most boring city in the USA, so there is nothing to do here.",negative
 last I looked.  Hi back...,neutral
wants the tickets for the concert,neutral
: haha i know  it was super easy too. i sat at the toy counter and gave kids what little toy they wanted with they`re tickets.,neutral
ready to go home,neutral
Digiqom welcomed new team members in the company today,positive
I hve a fat kink in my neck  maybe someone handsome will massage it out later?  we`ll see!,positive
at the redi med. getting checked for strep throat.,neutral
 Thanks for getting me bottled water.,positive
"Aww   i used to do that when i was little, not so much now ;) haa. Lazy shiit.",negative
At hospital.. Uncle is in surgury after heart attack,negative
" Yes babe, you`re so welcome!",positive
"don`t think that went well, was only in there for 15 mins",negative
" woof, I wish I was allowed to go",positive
167 SQL queries to display one single deal page on OzBargain. Looks like I`ll have fun optimising it!  Bad bad Drupal...,positive
"I hate different referenced assemblies. My FNH goes against castle 1.1, Caliburn against 1.03 .. not to mention dynamicproxy in NH",negative
I also found out that it`s also my last youth group meeting,neutral
About to get crazy,neutral
_mactastic I dunno ;p How`d I end up waking up at 2 am? It`s a mysterious world,negative
This is dedicated to all those moms out there - Happy Mother`s Day  ? http://blip.fm/~5z2g9,positive
thank God we finally found her!,positive
Dang my own LDBF didnt give me a Follow Friday shot out,negative
"is at my grandma`s place with my mum, celebrating mothers` day in 3 generations. The 4th will come",positive
 I saw that!!!!,neutral
"  Can we turn back time, make it so you didn`t hurt your knee so bad.. :`( and then you can come to mine and never be ignored??",neutral
I`m still pumped from the concert saturday. 17/7/09 here i come,negative
"had a great time celebrating mother`s day  to me, being a mom is the best job on earth!",positive
 You better believe it!   and I wouldn`t miss it for the world!,positive
 Flo is one of my Backup wives in case Renae gets abducted by Aliens or Russians. But if Flo`s pregnant it changes things,neutral
 o i c. i have no excuses i just love bein comfy,positive
"Gus, formally known as world`s ugliest dog has died  We`ll miss you, Gus http://bit.ly/exjcn",negative
_om 'If I should paint my fingernails green- oh and it just so happens I do paint them green...'  Marvelous,positive
  but then you won`t see Her hotness much either,neutral
 I am doing fantastic JJJ!  You? Doing your questions already? teacher`s pet!!,positive
wishes Happy Mother`s Day!,positive
Misses the good old days!,negative
 I think I might get some of that today.  My throat is killing me! It feels like it`s in my lungs,negative
but i thought `summer hours` meant i was supposed to get to go home at 4.....,neutral
" was on the list, i paid 5 to get in, but if your under 21,you cant go in and out, but it was gettin so hot, so we went outside",neutral
listening to a Del Barrio records release. I think Cmyk music will have competition over minimal techno in madrid land.,neutral
and because I wasn`t having a bad enough time last night my body decided it wanted to be sick,negative
I loved johnny carson now I`m going to hate seeing jay leno go,negative
saying goodbye to Papa....,negative
just got home from the last day of school.  graduation tomorrow.,neutral
http://www.bodybuilding.com/fun/richardchan.htm OMFG this dude looks well `ard! He puts me to shame...,negative
 Omg i`m on a one year work permit! Going home end of June...i`m really gna miss it   #canada,negative
28Ã¯Â¿Â½ in VanCity? Holy shizz. I will be home soon kids!,neutral
 my poor baby I think it`s allergies! Can I do amything about it bc he`s been that way sence monday,negative
?and make your own pledge while you`re at it!,neutral
 I think that normally we are drawn to people familiar or similar to us. The cougar thing is for some quick fun.,positive
Sunglasses whores   http://twitpic.com/4wtzj,neutral
back to athens. ????? ? ??????,neutral
 Honored to tweet ya...,positive
 Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,neutral
The horoscopes website I use has all changed around  I like it!,positive
"_ackles New to Twitter. New to Supernatural - im only 1 day old :0) Jst ordered 1st season, after seein 1 gud random ep lastnte",neutral
loves my new twitter background...my two heros...wichita and kraussey!  haha,positive
why yes jeeves. bring me that noose there  TOO MANY ASSIGNMENTS!,negative
It`s going to be a good week,positive
 Yeah ill make sure i keep you updated.. i get it all delivered,neutral
Can`t believe ER is over,neutral
I really miss my phone  i cant wait till my new one comes,negative
I love the sunshine and the happiness it brings,positive
 dont you have a uk say now?,neutral
" ROFL  Even if I kept insurance and payments under $300, Im still like.. meh. Good thing I applied for a day job pasy $2888mo",positive
 what happen to the maids of yours? Quit once again? ...,neutral
I`m baking cookies. What are YOU doing?,neutral
"  you have been busy, have a lovely time",positive
 Nope probably revision  Hbu? x,neutral
  You cna get em for about Ã¯Â¿Â½17 but I`ve got one for Ã¯Â¿Â½27 which is Asus same as lappie,neutral
my attempt to sync facebook and twitter seems to have failed,negative
 thanks for trying,positive
jolly good last night,neutral
 yes i did - as a thank you. have contacted them 2ce but no response,neutral
chris sab and i = COMME ESTAS ****,negative
Miley Stevens - Waterhouse is at Jhy`s house  http://apps.facebook.com/catbook/profile/view/6402509,neutral
Day dreaming of Fuzzball and SNL  http://fuzz-ball.com/twitter,neutral
94 more days till BH comes back to LA,neutral
happy Mother`s Day to all the moms out there,positive
"So happy that it`s FINALLY May!    The Indy 500.  Was there for the horrors of 1973, yet I still remain held captive by Indy`s spirit...",positive
"Just finished work nd now waiting in the freezing cold drinking a mango magic, haha FAIL T.T mama, wheree are yu ? I`m cold",negative
Im a bad blogger!! I have not blogged in weeks~ oops!,negative
Morning workout sesh.  Love Life.,positive
listening to the online radio; oldies,neutral
" aww yeah, it`s more fun revising with others but you get distracted easier >.< yeah I`m tired, revising history",neutral
".... you are my sunshine, my only sunshine....",neutral
 Just got back & saw yr tweet. It`s 7.30pm  monday here - mayday public holiday,neutral
"says Diana, you wanna burn the pics for me on a DVD or CD?  http://plurk.com/p/svs4c",negative
good morning. have to get ready to go to the hospital and get a cat scan. best wishes to you.,positive
 Cool rite?,neutral
Happy Mothers Day to all Mom`s,positive
" ew, i used to get 'suicides' in high school and mix like 5 sodas together. then drink it. i think i remember enjoying it, too.",positive
I feel like I need to catch up on twitter haven`t done much of it this weekend!,negative
 Hehe! It is nice down there,positive
In Drivers Ed  then dance.,neutral
 My neighbour is fond of loud Nickelback.,positive
Whoops - I got sunburnt,negative
"just got up, smoking a cig and drinking coffee.. i need to start working on my final project for the univ",neutral
"thankyou short stack for bringing out a second sydney show,, now im going to both  im so thankful for you guys being so good 2 ur fans",positive
 whats with u hating on becky soo much? ur bio says ur nice....guess not,neutral
" Since part of your job is predicting what will happen on the golf course, what are you going to shoot?",neutral
iPhone just fell,negative
Time for a clean up.,neutral
" Awwwww, i`m sorry",negative
Watching a movie with sam,neutral
My door looks naked   It makes my room feel bigger though.,neutral
 I actually meant to type 'end of September' but I was in the middle of a conversation with someone and I cant multitask,neutral
   Woot! lol  It`s gonna be hard to send this one back,neutral
I`m poorly and can`t sleep,negative
boo  rabbits pisses on people you know that,neutral
got a new prom dress,neutral
Good Morning good old Germany - I wanna say hello to New York.  I`m not in love. . .not really.,neutral
 oh no not difficult. It`s just nuts that`s how you have to market yourselves on home turf,positive
Getting ready for school...hope today is a happy and awesome day,positive
PayPal hates me.  It refuses to let me verify my account.,negative
" will do  hee after exams, i`ll give u plenty of shows. HAHA hopeless me",neutral
can`t find her favorite Nike shorts,neutral
  don`t remind me.. Was supposed 2 meet up with the Homie  2 4 that show..  Ack! So kill it please..do the **** thang!,neutral
I want a Monte Cristo sandwich sooo... BAd!!!,positive
 i got talent too  u nvr hear me sing or dance them does call me Mini Breezy,neutral
" Oh, and I went with my friend to MYOH last night but they ran out of tarsier pins. So sad. He was really cute.",neutral
 Ohhhh I don`t know ;) an older mature lady?,neutral
_lu Just one part of a very odd trip. You travel for 3 months you see some weirdness. Loved Perth though,neutral
Sorry if I`m confusing anyone. I keep forgetting to . The desktop Twitterific  is not so terrific  Very different from iPhone app.,neutral
  how great is that!  Nice to meet you!,positive
I love being in charge,positive
" wow!! you really are a pretty talented lady, most impressed",positive
Excited about having an empty apartment to ourselves for a little while,neutral
" Abrams has his quirks for sure.   I`ll summarize my post like this: decent flick, but NOT a 'Star Trek' story.",neutral
"Also, anyone else hayfevery today??? I`ve only been awake for 40mins and sufferin already",negative
"Finishing this giraffe, then getting some sleep. Super excited about tomorrow!",positive
"Had to change 'within 50 miles', because within 25 miles were effin` BORING.",negative
"My three-day weekend starts now.  Was gonna watch Star Trek, but opted to go another night instead.",neutral
I AM OFFICIALLY CELEBRATING MY 400TH TWEET. Wow! I am so proud  Its great.,positive
 Haha same as miine,neutral
Today seems like it should be a good day! Even though my fuel pump is going out on my car  *~xoxo~*,positive
It hurts to breathe again.. Why?,negative
DÃ¯Â¿Â½a sin sol... grrrrrrr.... Ã¯Â¿Â½why? Ã¯Â¿Â½WHYYY????????,neutral
WOW i just drank a drink of water - 12 ice cubes that took ages to melt. i now have brian freeze,negative
 do you really smoke???,neutral
 So you`re the reason I can`t get a BoC,negative
" well it sounds delicious! i`ll be laying out on my patio tom, sans pool!  Enjoy your burgers!!",positive
time to play,neutral
fml. i stepped on a needle.. ouch.. waaaaa  **** drycleaners,negative
 which case? I got a new one last week and I`m not thrilled at all with mine.,negative
Watching maxium 100. Why can`t I look beautiful like those girls.,negative
